ID	LABEL	OLD_VALUES	OLD_FIELDS	Parents	subset	cob_parent	obo_exact_match	xref_ontology	xref_literature_doi	nico_comment	definition	applicable_to	additional_information	abbreviation	has_exact_synonym	has_related_synonym	has_narrow_synonym	has_broad_synonym	xref_synonym	github_issue_link	contributors	contributor_orcid	Decision_OT_Team	Ontology_OT_remarks	Ontology_person	Decision_OT_Team	New_definition_file_link
TOSO:0000066	Herbaceous vine,	herbaceous vine,	Growth Form_value	Growth Form								Only for plants															
TOSO:0000067	Liana or woody vine	liana or woody vine	Growth Form_value	Growth Form								Only for plants															
TOSO:0000068	Woodiness		Woodiness									Only for plants															
TOSO:0000069	W woodiness	W	Woodiness_value	Woodiness								Only for plants															
TOSO:0000070	H woodiness	H	Woodiness_value	Woodiness								Only for plants															
TOSO:0000071	Variable woodiness	variable	Woodiness_value	Woodiness								Only for plants															
TOSO:0000072	Woodiness count		Woodiness count	Woodiness								Only for plants															
TOSO:0000073	Life form		Life Form									Only for plants															
TOSO:0000074	Annual	annual	Life Form_value	Life form								Only for plants															
TOSO:0000075	Perennial	perennial	Life Form_value	Life form								Only for plants															
TOSO:0000076	Gametophytic chromosome number		gametophytic chromosome number	Chromosome number								Only for plants															
TOSO:0000077	Sporophytic chromosome number		sporophytic chromosome number	Chromosome number								Only for plants															
TOSO:0000078	Gametophytic chromosome number (minimum)		gametophytic chromosome number (minimum)	Chromosome number								Only for plants															
TOSO:0000079	Gametophytic chromosome number (mean)		gametophytic chromosome number (mean)	Chromosome number								Only for plants															
TOSO:0000080	Sporophytic chromosome number (minimum)		sporophytic chromosome number (minimum)	Chromosome number								Only for plants															
TOSO:0000081	Sporophytic chromosome number (mean)		sporophytic chromosome number (mean)	Chromosome number								Only for plants															
TOSO:0000082	Karyotype				property?				10.1002/bmb.110		A collection of features used to describe the chromosomal complement in a cell, including the number of chromosomes and their morphology.	part,individual,species,population	An alternate definition can be found in GENO:0000644, where karyotype is treated as a genotype with agreeable definition but the comments do not met the criteria of applicability to all eukaryotes  							https://github.com/Tree-of-Sex/ToS-Ontology/issues/8	Sònia Garcia;Nicole Valenzuela;Astrid Böhne;Laia Marín Gual;Laura González Rodelas;Cibele Sotero-Caio;Edina Nemesházi;Mark Hibbins;Lukáš Kratochvíl;Lucija Andjel;Alexandr Sember	https://orcid.org/0000-0002-3143-0527;https://orcid.org/0000-0003-1148-631X;https://orcid.org/0000-0002-1284-3115;https://orcid.org/0000-0003-1480-0976;https://orcid.org/0000-0002-3780-5748;https://orcid.org/0000-0002-3112-0000;https://orcid.org/0000-0002-0179-1153;https://orcid.org/0000-0002-4651-3704;https://orcid.org/0000-0002-3515-729X;https://orcid.org/0000-0002-5708-1433;https://orcid.org/0000-0003-4441-9615	ToS_new_definition, exsting-ontology-as-comment	Cibele: Discuss whether we treat karyotype as a collection of features instead of genotype			
TOSO:0000083	Karyotype feature			Karyotype	property?						A feature that can be used to describe a karyotype	part,individual,species,population															
TOSO:0000084	Chromosome number		Chromosome number	Karyotype feature						You had a lot of whitespace around some of your labels. Be careful this is never the case!															Kamil Jaron		
TOSO:0000085	Female chromosome number		Chromosome number (female)	Chromosome number																					Kamil Jaron	create_ToS_definition	
TOSO:0000086	Male chromosome number		Chromosome number (male)	Chromosome number																					Kamil Jaron		
TOSO:0000087	Ploidy		ploidy	Karyotype feature				PATO:0001374																	Kamil Jaron	use-main_term	
